,dfxBuyRoutes,dfxSellRoutes,dfxBuyVolume,dfxSellVolume,dfxBuyVolumeCHF,dfxSellVolumeCHF
2021-09-06 14:02,282.0,0.0,27837.82870236624,0.0,,
2021-09-06 15:02,285.0,0.0,27837.82870236624,0.0,,
2021-09-06 16:01,293.0,0.0,28538.823899651587,0.0,,
2021-09-06 17:01,295.0,0.0,28619.509192919275,0.0,,
2021-09-06 18:01,298.0,0.0,28619.509192919275,0.0,,
2021-09-06 19:01,300.0,0.0,28619.509192919275,0.0,,
2021-09-06 20:02,304.0,0.0,28619.509192919275,0.0,,
2021-09-06 21:02,305.0,0.0,28619.509192919275,0.0,,
2021-09-06 22:01,305.0,0.0,28619.509192919275,0.0,,
2021-09-06 23:02,307.0,0.0,28619.509192919275,0.0,,
2021-09-07 00:04,307.0,0.0,28619.509192919275,0.0,,
2021-09-07 01:03,307.0,0.0,28619.509192919275,0.0,,
2021-09-07 02:02,307.0,0.0,28619.509192919275,0.0,,
2021-09-07 03:02,307.0,0.0,28619.509192919275,0.0,,
2021-09-07 04:02,307.0,0.0,28619.509192919275,0.0,,
2021-09-07 05:03,307.0,0.0,28619.509192919275,0.0,,
2021-09-07 06:03,309.0,0.0,28619.509192919275,0.0,,
2021-09-07 07:02,313.0,0.0,28619.509192919275,0.0,,
2021-09-07 08:02,317.0,0.0,28619.509192919275,0.0,,
2021-09-07 09:02,318.0,0.0,28619.509192919275,0.0,,
2021-09-07 10:02,318.0,0.0,29346.15273030625,0.0,,
2021-09-07 11:02,320.0,0.0,29346.15273030625,0.0,,
2021-09-07 12:02,320.0,0.0,29406.27391492568,0.0,,
2021-09-07 13:01,323.0,0.0,29406.27391492568,0.0,,
2021-09-07 14:02,323.0,0.0,29406.27391492568,0.0,,
2021-09-07 15:01,323.0,0.0,29406.27391492568,0.0,,
2021-09-07 16:02,326.0,0.0,29406.27391492568,0.0,,
2021-09-07 17:01,327.0,0.0,29406.27391492568,0.0,,
2021-09-07 18:02,330.0,0.0,29406.27391492568,0.0,,
2021-09-07 19:02,332.0,0.0,29406.27391492568,0.0,,
2021-09-07 20:02,332.0,0.0,29406.27391492568,0.0,,
2021-09-07 21:01,333.0,0.0,31162.63913270873,0.0,,
2021-09-07 22:01,333.0,0.0,31162.63913270873,0.0,,
2021-09-07 23:01,333.0,0.0,31887.124801507944,0.0,,
2021-09-08 00:04,333.0,0.0,31887.124801507944,0.0,,
2021-09-08 01:02,333.0,0.0,31887.124801507944,0.0,,
2021-09-08 02:01,333.0,0.0,31887.124801507944,0.0,,
2021-09-08 03:01,333.0,0.0,31887.124801507944,0.0,,
2021-09-08 04:02,333.0,0.0,31887.124801507944,0.0,,
2021-09-08 05:02,333.0,0.0,31887.124801507944,0.0,,
2021-09-08 06:02,338.0,0.0,31887.124801507944,0.0,,
2021-09-08 07:03,341.0,0.0,31887.124801507944,0.0,,
2021-09-08 08:02,343.0,0.0,31887.12480151,0.0,,
2021-09-08 09:01,345.0,0.0,31887.12480151,0.0,,
2021-09-08 10:02,347.0,0.0,42333.92322258,0.0,,
2021-09-08 11:02,351.0,0.0,42333.92322258,0.0,,
2021-09-08 12:02,355.0,0.0,42333.92322258,0.0,,
2021-09-08 13:01,355.0,0.0,42333.92322258,0.0,,
2021-09-08 14:02,357.0,0.0,42333.92322258,0.0,,
2021-09-08 15:02,359.0,0.0,42333.92322258,0.0,,
2021-09-08 16:01,359.0,0.0,42333.92322258,0.0,,
2021-09-08 17:01,360.0,0.0,42333.92322258,0.0,,
2021-09-08 18:01,363.0,0.0,42333.92322258,0.0,,
2021-09-08 19:01,366.0,0.0,42333.92322258,0.0,,
2021-09-08 20:02,369.0,0.0,42333.92322258,0.0,,
2021-09-08 21:01,373.0,0.0,42333.92322258,0.0,,
2021-09-08 22:01,374.0,0.0,42333.92322258,0.0,,
2021-09-08 23:01,376.0,0.0,42333.92322258,0.0,,
2021-09-09 00:04,376.0,0.0,42333.92322258,0.0,,
2021-09-09 01:02,376.0,0.0,42333.92322258,0.0,,
2021-09-09 02:01,376.0,0.0,45603.99478653,0.0,,
2021-09-09 03:02,376.0,0.0,45603.99478653,0.0,,
2021-09-09 04:02,376.0,0.0,45603.99478653,0.0,,
2021-09-09 05:03,376.0,0.0,45603.99478653,0.0,,
2021-09-09 06:02,376.0,0.0,45603.99478653,0.0,,
2021-09-09 07:02,378.0,0.0,45603.99478653,0.0,,
2021-09-09 08:02,378.0,0.0,45603.99478653,0.0,,
2021-09-09 09:01,382.0,0.0,45603.99478653,0.0,,
2021-09-09 10:01,382.0,0.0,45603.99478653,0.0,,
2021-09-09 11:02,383.0,0.0,45603.99478653,0.0,,
2021-09-09 12:02,386.0,0.0,45603.99478653,0.0,,
2021-09-09 13:01,389.0,0.0,45603.99478653,0.0,,
2021-09-09 14:02,391.0,0.0,45603.99478653,0.0,,
2021-09-09 15:01,391.0,0.0,45603.99478653,0.0,,
2021-09-09 16:02,392.0,0.0,45603.99478653,0.0,,
2021-09-09 17:01,392.0,0.0,45603.99478653,0.0,,
2021-09-09 18:01,395.0,0.0,47561.41566857,0.0,,
2021-09-09 19:01,399.0,0.0,47561.41566857,0.0,,
2021-09-09 20:02,400.0,0.0,79233.88573958,0.0,,
2021-09-09 21:01,401.0,0.0,79233.88573958,0.0,,
2021-09-09 22:01,403.0,0.0,79233.88573958,0.0,,
2021-09-09 23:01,404.0,0.0,79233.88573958,0.0,,
2021-09-10 00:04,404.0,0.0,79233.88573958,0.0,,
2021-09-10 01:02,404.0,0.0,79233.88573958,0.0,,
2021-09-10 02:02,410.0,0.0,79233.88573958,0.0,,
2021-09-10 03:02,410.0,0.0,79233.88573958,0.0,,
2021-09-10 04:02,412.0,0.0,79233.88573958,0.0,,
2021-09-10 05:02,412.0,0.0,79233.88573958,0.0,,
2021-09-10 06:02,416.0,0.0,79233.88573958,0.0,,
2021-09-10 07:02,420.0,0.0,79233.88573958,0.0,,
2021-09-10 08:02,423.0,0.0,79233.88573958,0.0,,
2021-09-10 09:01,424.0,0.0,79233.88573958,0.0,,
2021-09-10 10:01,428.0,0.0,79233.88573958,0.0,,
2021-09-10 11:02,428.0,0.0,79233.88573958,0.0,,
2021-09-10 12:02,430.0,0.0,79233.88573958,0.0,,
2021-09-10 13:01,434.0,0.0,79233.88573958,0.0,,
2021-09-10 14:02,434.0,0.0,79233.88573958,0.0,,
2021-09-10 15:01,434.0,0.0,79233.88573958,0.0,,
2021-09-10 16:02,435.0,0.0,81414.02023571,0.0,,
2021-09-10 17:01,435.0,0.0,81414.02023571,0.0,,
2021-09-10 18:01,435.0,0.0,81414.02023571,0.0,,
2021-09-10 19:01,435.0,0.0,81414.02023571,0.0,,
2021-09-10 20:02,437.0,0.0,81414.02023571,0.0,,
2021-09-10 21:01,437.0,0.0,81414.02023571,0.0,,
2021-09-10 22:01,437.0,0.0,81414.02023571,0.0,,
2021-09-10 23:01,437.0,0.0,81414.02023571,0.0,,
2021-09-11 00:04,437.0,0.0,81414.02023571,0.0,,
2021-09-11 01:02,437.0,0.0,81414.02023571,0.0,,
2021-09-11 02:02,437.0,0.0,81414.02023571,0.0,,
2021-09-11 03:02,437.0,0.0,81414.02023571,0.0,,
2021-09-11 04:02,437.0,0.0,81414.02023571,0.0,,
2021-09-11 05:02,437.0,0.0,81414.02023571,0.0,,
2021-09-11 06:02,437.0,0.0,81414.02023571,0.0,,
2021-09-11 07:02,439.0,0.0,81414.02023571,0.0,,
2021-09-11 08:02,440.0,0.0,81414.02023571,0.0,,
2021-09-11 09:01,441.0,0.0,81414.02023571,0.0,,
2021-09-11 10:01,443.0,0.0,81414.02023571,0.0,,
2021-09-11 11:02,443.0,0.0,81414.02023571,0.0,,
2021-09-11 12:02,443.0,0.0,81414.02023571,0.0,,
2021-09-11 14:02,450.0,0.0,81414.02023571,0.0,206564.9,0.0
2021-09-11 15:01,451.0,0.0,81414.02023571,0.0,206564.9,0.0
2021-09-11 16:01,454.0,0.0,81414.02023571,0.0,206564.9,0.0
2021-09-11 17:01,455.0,0.0,81414.02023571,0.0,206564.9,0.0
2021-09-11 18:01,456.0,0.0,81414.02023571,0.0,206564.9,0.0
2021-09-11 19:01,457.0,0.0,81414.02023571,0.0,206564.9,0.0
2021-09-11 20:02,459.0,0.0,81414.02023571,0.0.206564.9,0.0
